club,nation,coach,formation,mvp,position,season
Real Madrid CF,Spain,José Villalonga,unknown,unknown,winner,'1955/1956'
Stade de Reims,France,Albert Batteux,unknown,unknown,runner up,'1955/1956'
Real Madrid CF,Spain,José Villalonga,unknown,unknown,winner,'1956/1957'
ACF Fiorentina,Italy,Fulvio Bernardini,unknown,unknown,runner up,'1956/1957'
Real Madrid CF,Spain,Luis Antonio Carniglia,unknown,unknown,winner,'1957/1958'
AC Milan,Italy,Giuseppe Viani,unknown,unknown,runner up,'1957/1958'
Real Madrid CF,Spain,Luis Antonio Carniglia,unknown,unknown,winner,'1958/1959'
Stade de Reims,France,Albert Batteux,unknown,unknown,runner up,'1958/1959'
Real Madrid CF,Spain,Miguel Muñoz Mozún,unknown,unknown,winner,'1959/1960'
Eintracht Frankfurt,Germany,Paul Osswald,unknown,unknown,runner up,'1959/1960'
SL Benfica,Portugal,Béla Guttmann,unknown,unknown,winner,'1960/1961'
Barcelona FC,Spain,Enrique Orizaola,unknown,unknown,runner up,'1960/1961'
SL Benfica,Portugal,Béla Guttmann,unknown,unknown,winner,'1961/1962'
Real Madrid CF,Spain,Miguel Muñoz Mozún,unknown,unknown,runner up,'1961/1962'
AC Milan,Italy,Nereo Rocco,unknown,unknown,winner,'1962/1963'
SL Benfica,Portugal,Fernando Riera,unknown,unknown,runner up,'1962/1963'
FC Internazionale,Italy,Helenio Herrera,unknown,unknown,winner,'1963/1964'
Real Madrid CF,Spain,Miguel Muñoz Mozún,unknown,unknown,runner up,'1963/1964'
FC Internazionale,Italy,Helenio Herrera,unknown,unknown,winner,'1964/1965'
SL Benfica,Portugal,Elek Schwartz,unknown,unknown,runner up,'1964/1965'
Real Madrid CF,Spain,Miguel Muñoz Mozún,unknown,unknown,winner,'1965/1966'
FK Partizan,Serbia,Abdulah Gegić,unknown,unknown,runner up,'1965/1966'
Celtic FC,Scotland,Jock Stein,unknown,unknown,winner,'1966/1967'
FC Internazionale,Italy,Helenio Herrera,unknown,unknown,runner up,'1966/1967'
Manchester United FC,England,Sir Matt Busby,unknown,unknown,winner,'1967/1968'
SL Benfica,Portugal,Otto Gloria Martins,unknown,unknown,runner up,'1967/1968'
AC Milan,Italy,Nereo Rocco,unknown,unknown,winner,'1968/1969'
AFC Ajax,Netherlands,Rinus Michels,unknown,unknown,runner up,'1968/1969'
Feyenoord,Netherlands,Ernst Happel,unknown,unknown,winner,'1969/1970'
Celtic FC,Scotland,Jock Stein,unknown,unknown,runner up,'1969/1970'
AFC Ajax,Netherlands,Rinus Michels,unknown,unknown,winner,'1970/1971'
Panathinaikos FC,Greece,Férenc Puskás,unknown,unknown,runner up,'1970/1971'
AFC Ajax,Netherlands,Stefan Kovacs,unknown,unknown,winner,'1971/1972'
FC Internazionale,Italy,Giovanni Invernizzi,unknown,unknown,runner up,'1971/1972'
AFC Ajax,Netherlands,Stefan Kovacs,unknown,unknown,winner,'1972/1973'
Juventus,Italy,Cestmir Vycpalek,unknown,unknown,runner up,'1972/1973'
FC Bayern Munchen,Germany,Udo Lattek,unknown,unknown,winner,'1973/1974'
Club Atletico de Madrid,Spain,Juan Carlos Lorenzo,unknown,unknown,runner up,'1973/1974'
FC Bayern Munchen,Germany,Dettmar Cramer,unknown,unknown,winner,'1974/1975'
Leeds United,England,James Armfield,unknown,unknown,runner up,'1974/1975'
FC Bayern Munchen,Germany,Dettmar Cramer,unknown,unknown,winner,'1975/1976'
